Pokemon,Type,Species,Height,Weight,Abilities,EV Yield,Catch Rate,Base Friendship,Base Exp,Growth Rate,Egg Groups,Gender,Egg Cycles,HP Base,HP Min,HP Max,Attack Base,Attack Min,Attack Max,Defense Base,Defense Min,Defense Max,Special Attack Base,Special Attack Min,Special Attack Max,Special Defense Base,Special Defense Min,Special Defense Max,Speed Base,Speed Min,Speed Max
Slowking,"Water, Psychic",Royal Pokémon,2.0 m (6′07″),79.5 kg (175.3 lbs),"1. Oblivious, 2. Own Tempo, Regenerator (hidden ability)",2 Sp. Def,"70 (9.1% with PokéBall, full HP)",50 (normal),172,Medium Fast,"Monster, Water 1","50% male, 50% female","20 (4,884–5,140 steps)",95,300,394,75,139,273,80,148,284,100,184,328,110,202,350,30,58,174
Galarian Slowking,"Poison, Psychic",Hexpert Pokémon,1.8 m (5′11″),79.5 kg (175.3 lbs),"1. Curious Medicine, 2. Own Tempo, Regenerator (hidden ability)",2 Sp. Def,"70 (9.1% with PokéBall, full HP)",50 (normal),172,Medium Fast,"Monster, Water 1","50% male, 50% female","20 (4,884–5,140 steps)",95,300,394,65,121,251,80,148,284,110,202,350,110,202,350,30,58,174
Slowpoke,"Water, Psychic",Dopey Pokémon,1.2 m (3′11″),36.0 kg (79.4 lbs),"1. Oblivious, 2. Own Tempo, Regenerator (hidden ability)",1 HP,"190 (24.8% with PokéBall, full HP)",50 (normal),63,Medium Fast,"Monster, Water 1","50% male, 50% female","20 (4,884–5,140 steps)",90,290,384,65,121,251,65,121,251,40,76,196,40,76,196,15,31,141
Galarian Slowpoke,Psychic,Dopey Pokémon,1.2 m (3′11″),36.0 kg (79.4 lbs),"1. Gluttony, 2. Own Tempo, Regenerator (hidden ability)",1 HP,"190 (24.8% with PokéBall, full HP)",50 (normal),63,Medium Fast,"Monster, Water 1","50% male, 50% female","20 (4,884–5,140 steps)",90,290,384,65,121,251,65,121,251,40,76,196,40,76,196,15,31,141
Slugma,Fire,Lava Pokémon,0.7 m (2′04″),35.0 kg (77.2 lbs),"1. Magma Armor, 2. Flame Body, Weak Armor (hidden ability)",1 Sp. Atk,"190 (24.8% with PokéBall, full HP)",50 (normal),50,Medium Fast,Amorphous,"50% male, 50% female","20 (4,884–5,140 steps)",40,190,284,40,76,196,40,76,196,70,130,262,40,76,196,20,40,152
Slurpuff,Fairy,Meringue Pokémon,0.8 m (2′07″),5.0 kg (11.0 lbs),"1. Sweet Veil, Unburden (hidden ability)",2 Defense,"140 (18.3% with PokéBall, full HP)",50 (normal),168,Medium Fast,Fairy,"50% male, 50% female","20 (4,884–5,140 steps)",82,274,368,80,148,284,86,159,298,85,157,295,75,139,273,72,134,267
Smeargle,Normal,Painter Pokémon,1.2 m (3′11″),58.0 kg (127.9 lbs),"1. Own Tempo, 2. Technician, Moody (hidden ability)",1 Speed,"45 (5.9% with PokéBall, full HP)",50 (normal),88,Fast,Field,"50% male, 50% female","20 (4,884–5,140 steps)",55,220,314,20,40,152,35,67,185,20,40,152,45,85,207,75,139,273
Smoliv,"Grass, Normal",Olive Pokémon,0.3 m (1′00″),6.5 kg (14.3 lbs),"1. Early Bird, Harvest (hidden ability)",1 Sp. Atk,"255 (33.3% with PokéBall, full HP)",50 (normal),52,Medium Slow,Grass,"50% male, 50% female","20 (4,884–5,140 steps)",41,192,286,35,67,185,45,85,207,58,108,236,51,96,221,30,58,174
Smoochum,"Ice, Psychic",Kiss Pokémon,0.4 m (1′04″),6.0 kg (13.2 lbs),"1. Oblivious, 2. Forewarn, Hydration (hidden ability)",1 Sp. Atk,"45 (5.9% with PokéBall, full HP)",50 (normal),61,Medium Fast,Undiscovered,"0% male, 100% female","25 (6,169–6,425 steps)",45,200,294,30,58,174,15,31,141,85,157,295,65,121,251,65,121,251
Sneasel,"Dark, Ice",Sharp Claw Pokémon,0.9 m (2′11″),28.0 kg (61.7 lbs),"1. Inner Focus, 2. Keen Eye, Pickpocket (hidden ability)",1 Speed,"60 (7.8% with PokéBall, full HP)",35 (lower than normal),86,Medium Slow,Field,"50% male, 50% female","20 (4,884–5,140 steps)",55,220,314,95,175,317,55,103,229,35,67,185,75,139,273,115,211,361
Hisuian Sneasel,"Fighting, Poison",Sharp Claw Pokémon,0.9 m (2′11″),27.0 kg (59.5 lbs),"1. Inner Focus, 2. Keen Eye, Pickpocket (hidden ability)",1 Speed,"60 (7.8% with PokéBall, full HP)",35 (lower than normal),86,Medium Slow,Field,"50% male, 50% female","20 (4,884–5,140 steps)",55,220,314,95,175,317,55,103,229,35,67,185,75,139,273,115,211,361
Sneasler,"Fighting, Poison",Free Climb Pokémon,1.3 m (4′03″),43.0 kg (94.8 lbs),"1. Pressure, 2. Unburden, Poison Touch (hidden ability)",2 Attack,"20 (2.6% with PokéBall, full HP)",50 (normal),102,Medium Slow,Field,"50% male, 50% female","20 (4,884–5,140 steps)",80,270,364,130,238,394,60,112,240,40,76,196,80,148,284,120,220,372
Snivy,Grass,Grass Snake Pokémon,0.6 m (2′00″),8.1 kg (17.9 lbs),"1. Overgrow, Contrary (hidden ability)",1 Speed,"45 (5.9% with PokéBall, full HP)",50 (normal),62,Medium Slow,"Field, Grass","87.5% male, 12.5% female","20 (4,884–5,140 steps)",45,200,294,45,85,207,55,103,229,45,85,207,55,103,229,63,117,247
Snom,"Ice, Bug",Worm Pokémon,0.3 m (1′00″),3.8 kg (8.4 lbs),"1. Shield Dust, Ice Scales (hidden ability)",1 Sp. Atk,"190 (24.8% with PokéBall, full HP)",50 (normal),37,Medium Fast,Bug,"50% male, 50% female","20 (4,884–5,140 steps)",30,170,264,25,49,163,35,67,185,45,85,207,30,58,174,20,40,152
Snorlax,Normal,Sleeping Pokémon,2.1 m (6′11″),460.0 kg (1014.1 lbs),"1. Immunity, 2. Thick Fat, Gluttony (hidden ability)",2 HP,"25 (3.3% with PokéBall, full HP)",50 (normal),189,Slow,Monster,"87.5% male, 12.5% female","40 (10,024–10,280 steps)",160,430,524,110,202,350,65,121,251,65,121,251,110,202,350,30,58,174
Snorunt,Ice,Snow Hat Pokémon,0.7 m (2′04″),16.8 kg (37.0 lbs),"1. Inner Focus, 2. Ice Body, Moody (hidden ability)",1 HP,"190 (24.8% with PokéBall, full HP)",50 (normal),60,Medium Fast,"Fairy, Mineral","50% male, 50% female","20 (4,884–5,140 steps)",50,210,304,50,94,218,50,94,218,50,94,218,50,94,218,50,94,218
Snover,"Grass, Ice",Frost Tree Pokémon,1.0 m (3′03″),50.5 kg (111.3 lbs),"1. Snow Warning, Soundproof (hidden ability)",1 Attack,"120 (15.7% with PokéBall, full HP)",50 (normal),67,Slow,"Grass, Monster","50% male, 50% female","20 (4,884–5,140 steps)",60,230,324,62,116,245,50,94,218,62,116,245,60,112,240,40,76,196
Snubbull,Fairy,Fairy Pokémon,0.6 m (2′00″),7.8 kg (17.2 lbs),"1. Intimidate, 2. Run Away, Rattled (hidden ability)",1 Attack,"190 (24.8% with PokéBall, full HP)",50 (normal),60,Fast,"Fairy, Field","25% male, 75% female","20 (4,884–5,140 steps)",60,230,324,80,148,284,50,94,218,40,76,196,40,76,196,30,58,174
Sobble,Water,Water Lizard Pokémon,0.3 m (1′00″),4.0 kg (8.8 lbs),"1. Torrent, Sniper (hidden ability)","1 Sp. Def, 1 Speed","45 (5.9% with PokéBall, full HP)",50 (normal),62,Medium Slow,"Field, Water 1","87.5% male, 12.5% female","20 (4,884–5,140 steps)",50,210,304,40,76,196,40,76,196,70,130,262,40,76,196,70,130,262
Solgaleo,"Psychic, Steel",Sunne Pokémon,3.4 m (11′02″),230.0 kg (507.1 lbs),1. Full Metal Body,3 Attack,"45 (5.9% with PokéBall, full HP)",0 (lower than normal),306,Slow,Undiscovered,Genderless,"120 (30,584–30,840 steps)",137,384,478,137,251,410,107,197,344,113,207,357,89,164,304,97,179,322
Solosis,Psychic,Cell Pokémon,0.3 m (1′00″),1.0 kg (2.2 lbs),"1. Overcoat, 2. Magic Guard, Regenerator (hidden ability)",1 Sp. Atk,"200 (26.1% with PokéBall, full HP)",50 (normal),58,Medium Slow,Amorphous,"50% male, 50% female","20 (4,884–5,140 steps)",45,200,294,30,58,174,40,76,196,105,193,339,50,94,218,20,40,152
Solrock,"Rock, Psychic",Meteorite Pokémon,1.2 m (3′11″),154.0 kg (339.5 lbs),1. Levitate,2 Attack,"45 (5.9% with PokéBall, full HP)",50 (normal),161,Fast,Mineral,Genderless,"25 (6,169–6,425 steps)",90,290,384,95,175,317,85,157,295,55,103,229,65,121,251,70,130,262
Spearow,"Normal, Flying",Tiny Bird Pokémon,0.3 m (1′00″),2.0 kg (4.4 lbs),"1. Keen Eye, Sniper (hidden ability)",1 Speed,"255 (33.3% with PokéBall, full HP)",50 (normal),52,Medium Fast,Flying,"50% male, 50% female","15 (3,599–3,855 steps)",40,190,284,60,112,240,30,58,174,31,60,177,31,60,177,70,130,262
Spectrier,Ghost,Swift Horse Pokémon,2.0 m (6′07″),44.5 kg (98.1 lbs),1. Grim Neigh,3 Sp. Atk,"3 (0.4% with PokéBall, full HP)",35 (lower than normal),290,Slow,Undiscovered,Genderless,"120 (30,584–30,840 steps)",100,310,404,65,121,251,60,112,240,145,265,427,80,148,284,130,238,394
Spewpa,Bug,Scatterdust Pokémon,0.3 m (1′00″),8.4 kg (18.5 lbs),"1. Shed Skin, Friend Guard (hidden ability)",2 Defense,"120 (15.7% with PokéBall, full HP)",50 (normal),75,Medium Fast,Bug,"50% male, 50% female","15 (3,599–3,855 steps)",45,200,294,22,44,157,60,112,240,27,53,168,30,58,174,29,56,172
Spheal,"Ice, Water",Clap Pokémon,0.8 m (2′07″),39.5 kg (87.1 lbs),"1. Thick Fat, 2. Ice Body, Oblivious (hidden ability)",1 HP,"255 (33.3% with PokéBall, full HP)",50 (normal),58,Medium Slow,"Field, Water 1","50% male, 50% female","20 (4,884–5,140 steps)",70,250,344,40,76,196,50,94,218,55,103,229,50,94,218,25,49,163
Spidops,Bug,Trap Pokémon,1.0 m (3′03″),16.5 kg (36.4 lbs),"1. Insomnia, Stakeout (hidden ability)",2 Defense,"120 (15.7% with PokéBall, full HP)",50 (normal),141,Erratic,Bug,"50% male, 50% female","15 (3,599–3,855 steps)",60,230,324,79,146,282,92,170,311,52,98,223,86,159,298,35,67,185
Spinarak,"Bug, Poison",String Spit Pokémon,0.5 m (1′08″),8.5 kg (18.7 lbs),"1. Swarm, 2. Insomnia, Sniper (hidden ability)",1 Attack,"255 (33.3% with PokéBall, full HP)",50 (normal),50,Fast,Bug,"50% male, 50% female","15 (3,599–3,855 steps)",40,190,284,60,112,240,40,76,196,40,76,196,40,76,196,30,58,174
Spinda,Normal,Spot Panda Pokémon,1.1 m (3′07″),5.0 kg (11.0 lbs),"1. Own Tempo, 2. Tangled Feet, Contrary (hidden ability)",1 Sp. Atk,"255 (33.3% with PokéBall, full HP)",50 (normal),126,Fast,"Field, Human-Like","50% male, 50% female","15 (3,599–3,855 steps)",60,230,324,60,112,240,60,112,240,60,112,240,60,112,240,60,112,240
Spiritomb,"Ghost, Dark",Forbidden Pokémon,1.0 m (3′03″),108.0 kg (238.1 lbs),"1. Pressure, Infiltrator (hidden ability)","1 Defense, 1 Sp. Def","100 (13.1% with PokéBall, full HP)",50 (normal),170,Medium Fast,Amorphous,"50% male, 50% female","30 (7,454–7,710 steps)",50,210,304,92,170,311,108,198,346,92,170,311,108,198,346,35,67,185
Spoink,Psychic,Bounce Pokémon,0.7 m (2′04″),30.6 kg (67.5 lbs),"1. Thick Fat, 2. Own Tempo, Gluttony (hidden ability)",1 Sp. Def,"255 (33.3% with PokéBall, full HP)",50 (normal),66,Fast,Field,"50% male, 50% female","20 (4,884–5,140 steps)",60,230,324,25,49,163,35,67,185,70,130,262,80,148,284,60,112,240
Sprigatito,Grass,Grass Cat Pokémon,0.4 m (1′04″),4.1 kg (9.0 lbs),"1. Overgrow, Protean (hidden ability)",1 Speed,"45 (5.9% with PokéBall, full HP)",50 (normal),62,Medium Slow,"Field, Grass","87.5% male, 12.5% female","20 (4,884–5,140 steps)",40,190,284,61,114,243,54,101,227,45,85,207,45,85,207,65,121,251
Spritzee,Fairy,Perfume Pokémon,0.2 m (0′08″),0.5 kg (1.1 lbs),"1. Healer, Aroma Veil (hidden ability)",1 HP,"200 (26.1% with PokéBall, full HP)",50 (normal),68,Medium Fast,Fairy,"50% male, 50% female","20 (4,884–5,140 steps)",78,266,360,52,98,223,60,112,240,63,117,247,65,121,251,23,45,159
Squawkabilly Green Plumage,"Normal, Flying",Parrot Pokémon,0.6 m (2′00″),2.4 kg (5.3 lbs),"1. Intimidate, 2. Hustle, Guts (hidden ability)",1 Attack,"190 (24.8% with PokéBall, full HP)",50 (normal),146,Erratic,Flying,"50% male, 50% female","15 (3,599–3,855 steps)",82,274,368,96,177,320,51,96,221,45,85,207,51,96,221,92,170,311
Squawkabilly Blue Plumage,"Normal, Flying",Parrot Pokémon,0.6 m (2′00″),2.4 kg (5.3 lbs),"1. Intimidate, 2. Hustle, Guts (hidden ability)",1 Attack,"190 (24.8% with PokéBall, full HP)",50 (normal),146,Erratic,Flying,"50% male, 50% female","15 (3,599–3,855 steps)",82,274,368,96,177,320,51,96,221,45,85,207,51,96,221,92,170,311
Squawkabilly Yellow Plumage,"Normal, Flying",Parrot Pokémon,0.6 m (2′00″),2.4 kg (5.3 lbs),"1. Intimidate, 2. Hustle, Sheer Force (hidden ability)",1 Attack,"190 (24.8% with PokéBall, full HP)",50 (normal),146,Erratic,Flying,"50% male, 50% female","15 (3,599–3,855 steps)",82,274,368,96,177,320,51,96,221,45,85,207,51,96,221,92,170,311
Squawkabilly White Plumage,"Normal, Flying",Parrot Pokémon,0.6 m (2′00″),2.4 kg (5.3 lbs),"1. Intimidate, 2. Hustle, Sheer Force (hidden ability)",1 Attack,"190 (24.8% with PokéBall, full HP)",50 (normal),146,Erratic,Flying,"50% male, 50% female","15 (3,599–3,855 steps)",82,274,368,96,177,320,51,96,221,45,85,207,51,96,221,92,170,311
Squirtle,Water,Tiny Turtle Pokémon,0.5 m (1′08″),9.0 kg (19.8 lbs),"1. Torrent, Rain Dish (hidden ability)",1 Defense,"45 (5.9% with PokéBall, full HP)",50 (normal),63,Medium Slow,"Monster, Water 1","87.5% male, 12.5% female","20 (4,884–5,140 steps)",44,198,292,48,90,214,65,121,251,50,94,218,64,119,249,43,81,203
Stakataka,"Rock, Steel",Rampart Pokémon,5.5 m (18′01″),820.0 kg (1807.8 lbs),1. Beast Boost,3 Defense,"30 (3.9% with PokéBall, full HP)",0 (lower than normal),257,Slow,Undiscovered,Genderless,"120 (30,584–30,840 steps)",61,232,326,131,240,397,211,384,573,53,99,225,101,186,331,13,27,137
Stantler,Normal,Big Horn Pokémon,1.4 m (4′07″),71.2 kg (157.0 lbs),"1. Intimidate, 2. Frisk, Sap Sipper (hidden ability)",1 Attack,"45 (5.9% with PokéBall, full HP)",50 (normal),163,Slow,Field,"50% male, 50% female","20 (4,884–5,140 steps)",73,256,350,95,175,317,62,116,245,85,157,295,65,121,251,85,157,295
Staraptor,"Normal, Flying",Predator Pokémon,1.2 m (3′11″),24.9 kg (54.9 lbs),"1. Intimidate, Reckless (hidden ability)",3 Attack,"45 (5.9% with PokéBall, full HP)",50 (normal),243,Medium Slow,Flying,"50% male, 50% female","15 (3,599–3,855 steps)",85,280,374,120,220,372,70,130,262,50,94,218,60,112,240,100,184,328
Staravia,"Normal, Flying",Starling Pokémon,0.6 m (2′00″),15.5 kg (34.2 lbs),"1. Intimidate, Reckless (hidden ability)",2 Speed,"120 (15.7% with PokéBall, full HP)",50 (normal),119,Medium Slow,Flying,"50% male, 50% female","15 (3,599–3,855 steps)",55,220,314,75,139,273,50,94,218,40,76,196,40,76,196,80,148,284
Starly,"Normal, Flying",Starling Pokémon,0.3 m (1′00″),2.0 kg (4.4 lbs),"1. Keen Eye, Reckless (hidden ability)",1 Speed,"255 (33.3% with PokéBall, full HP)",50 (normal),49,Medium Slow,Flying,"50% male, 50% female","15 (3,599–3,855 steps)",40,190,284,55,103,229,30,58,174,30,58,174,30,58,174,60,112,240
Starmie,"Water, Psychic",Mysterious Pokémon,1.1 m (3′07″),80.0 kg (176.4 lbs),"1. Illuminate, 2. Natural Cure, Analytic (hidden ability)",2 Speed,"60 (7.8% with PokéBall, full HP)",50 (normal),182,Slow,Water 3,Genderless,"20 (4,884–5,140 steps)",60,230,324,75,139,273,85,157,295,100,184,328,85,157,295,115,211,361
Staryu,Water,Star Shape Pokémon,0.8 m (2′07″),34.5 kg (76.1 lbs),"1. Illuminate, 2. Natural Cure, Analytic (hidden ability)",1 Speed,"225 (29.4% with PokéBall, full HP)",50 (normal),68,Slow,Water 3,Genderless,"20 (4,884–5,140 steps)",30,170,264,45,85,207,55,103,229,70,130,262,55,103,229,85,157,295
Steelix,"Steel, Ground",Iron Snake Pokémon,9.2 m (30′02″),400.0 kg (881.8 lbs),"1. Rock Head, 2. Sturdy, Sheer Force (hidden ability)",2 Defense,"25 (3.3% with PokéBall, full HP)",50 (normal),179,Medium Fast,Mineral,"50% male, 50% female","25 (6,169–6,425 steps)",75,260,354,85,157,295,200,364,548,55,103,229,65,121,251,30,58,174
Mega Steelix,"Steel, Ground",Iron Snake Pokémon,10.5 m (34′05″),740.0 kg (1631.4 lbs),1. Sand Force,2 Defense,"25 (3.3% with PokéBall, full HP)",50 (normal),214,Medium Fast,Mineral,"50% male, 50% female","25 (6,169–6,425 steps)",75,260,354,125,229,383,230,418,614,55,103,229,95,175,317,30,58,174
Steenee,Grass,Fruit Pokémon,0.7 m (2′04″),8.2 kg (18.1 lbs),"1. Leaf Guard, 2. Oblivious, Sweet Veil (hidden ability)",2 Speed,"120 (15.7% with PokéBall, full HP)",50 (normal),102,Medium Slow,Grass,"0% male, 100% female","20 (4,884–5,140 steps)",52,214,308,40,76,196,48,90,214,40,76,196,48,90,214,62,116,245
Stonjourner,Rock,Big Rock Pokémon,2.5 m (8′02″),520.0 kg (1146.4 lbs),1. Power Spot,2 Defense,"60 (7.8% with PokéBall, full HP)",50 (normal),165,Slow,Mineral,"50% male, 50% female","25 (6,169–6,425 steps)",100,310,404,125,229,383,135,247,405,20,40,152,20,40,152,70,130,262
Stoutland,Normal,Big-Hearted Pokémon,1.2 m (3′11″),61.0 kg (134.5 lbs),"1. Intimidate, 2. Sand Rush, Scrappy (hidden ability)",3 Attack,"45 (5.9% with PokéBall, full HP)",50 (normal),225,Medium Slow,Field,"50% male, 50% female","15 (3,599–3,855 steps)",85,280,374,110,202,350,90,166,306,45,85,207,90,166,306,80,148,284
Stufful,"Normal, Fighting",Flailing Pokémon,0.5 m (1′08″),6.8 kg (15.0 lbs),"1. Fluffy, 2. Klutz, Cute Charm (hidden ability)",1 Attack,"140 (18.3% with PokéBall, full HP)",50 (normal),68,Medium Fast,Field,"50% male, 50% female","15 (3,599–3,855 steps)",70,250,344,75,139,273,50,94,218,45,85,207,50,94,218,50,94,218
Stunfisk,"Ground, Electric",Trap Pokémon,0.7 m (2′04″),11.0 kg (24.3 lbs),"1. Static, 2. Limber, Sand Veil (hidden ability)",2 HP,"75 (9.8% with PokéBall, full HP)",70 (higher than normal),165,Medium Fast,"Amorphous, Water 1","50% male, 50% female","20 (4,884–5,140 steps)",109,328,422,66,123,254,84,155,293,81,150,287,99,182,326,32,62,179
Galarian Stunfisk,"Ground, Steel",Trap Pokémon,0.7 m (2′04″),20.5 kg (45.2 lbs),1. Mimicry,2 HP,"75 (9.8% with PokéBall, full HP)",50 (normal),165,Medium Fast,"Amorphous, Water 1","50% male, 50% female","20 (4,884–5,140 steps)",109,328,422,81,150,287,99,182,326,66,123,254,84,155,293,32,62,179
Stunky,"Poison, Dark",Skunk Pokémon,0.4 m (1′04″),19.2 kg (42.3 lbs),"1. Stench, 2. Aftermath, Keen Eye (hidden ability)",1 Speed,"225 (29.4% with PokéBall, full HP)",50 (normal),66,Medium Fast,Field,"50% male, 50% female","20 (4,884–5,140 steps)",63,236,330,63,117,247,47,89,212,41,78,199,41,78,199,74,137,271
Sudowoodo,Rock,Imitation Pokémon,1.2 m (3′11″),38.0 kg (83.8 lbs),"1. Sturdy, 2. Rock Head, Rattled (hidden ability)",2 Defense,"65 (8.5% with PokéBall, full HP)",50 (normal),144,Medium Fast,Mineral,"50% male, 50% female","20 (4,884–5,140 steps)",70,250,344,100,184,328,115,211,361,30,58,174,65,121,251,30,58,174
Suicune,Water,Aurora Pokémon,2.0 m (6′07″),187.0 kg (412.3 lbs),"1. Pressure, Inner Focus (hidden ability)","1 Defense, 2 Sp. Def","3 (0.4% with PokéBall, full HP)",35 (lower than normal),261,Slow,Undiscovered,Genderless,"80 (20,304–20,560 steps)",100,310,404,75,139,273,115,211,361,90,166,306,115,211,361,85,157,295
Sunflora,Grass,Sun Pokémon,0.8 m (2′07″),8.5 kg (18.7 lbs),"1. Chlorophyll, 2. Solar Power, Early Bird (hidden ability)",2 Sp. Atk,"120 (15.7% with PokéBall, full HP)",50 (normal),149,Medium Slow,Grass,"50% male, 50% female","20 (4,884–5,140 steps)",75,260,354,75,139,273,55,103,229,105,193,339,85,157,295,30,58,174
Sunkern,Grass,Seed Pokémon,0.3 m (1′00″),1.8 kg (4.0 lbs),"1. Chlorophyll, 2. Solar Power, Early Bird (hidden ability)",1 Sp. Atk,"235 (30.7% with PokéBall, full HP)",50 (normal),36,Medium Slow,Grass,"50% male, 50% female","20 (4,884–5,140 steps)",30,170,264,30,58,174,30,58,174,30,58,174,30,58,174,30,58,174
Surskit,"Bug, Water",Pond Skater Pokémon,0.5 m (1′08″),1.7 kg (3.7 lbs),"1. Swift Swim, Rain Dish (hidden ability)",1 Speed,"200 (26.1% with PokéBall, full HP)",50 (normal),54,Medium Fast,"Bug, Water 1","50% male, 50% female","15 (3,599–3,855 steps)",40,190,284,30,58,174,32,62,179,50,94,218,52,98,223,65,121,251
Swablu,"Normal, Flying",Cotton Bird Pokémon,0.4 m (1′04″),1.2 kg (2.6 lbs),"1. Natural Cure, Cloud Nine (hidden ability)",1 Sp. Def,"255 (33.3% with PokéBall, full HP)",50 (normal),62,Erratic,"Dragon, Flying","50% male, 50% female","20 (4,884–5,140 steps)",45,200,294,40,76,196,60,112,240,40,76,196,75,139,273,50,94,218
Swadloon,"Bug, Grass",Leaf-Wrapped Pokémon,0.5 m (1′08″),7.3 kg (16.1 lbs),"1. Leaf Guard, 2. Chlorophyll, Overcoat (hidden ability)",2 Defense,"120 (15.7% with PokéBall, full HP)",50 (normal),133,Medium Slow,Bug,"50% male, 50% female","15 (3,599–3,855 steps)",55,220,314,63,117,247,90,166,306,50,94,218,80,148,284,42,80,201
Swalot,Poison,Poison Bag Pokémon,1.7 m (5′07″),80.0 kg (176.4 lbs),"1. Liquid Ooze, 2. Sticky Hold, Gluttony (hidden ability)",2 HP,"75 (9.8% with PokéBall, full HP)",50 (normal),163,Fluctuating,Amorphous,"50% male, 50% female","20 (4,884–5,140 steps)",100,310,404,73,135,269,83,153,291,73,135,269,83,153,291,55,103,229
Swampert,"Water, Ground",Mud Fish Pokémon,1.5 m (4′11″),81.9 kg (180.6 lbs),"1. Torrent, Damp (hidden ability)",3 Attack,"45 (5.9% with PokéBall, full HP)",50 (normal),241,Medium Slow,"Monster, Water 1","87.5% male, 12.5% female","20 (4,884–5,140 steps)",100,310,404,110,202,350,90,166,306,85,157,295,90,166,306,60,112,240
Mega Swampert,"Water, Ground",Mud Fish Pokémon,1.9 m (6′03″),102.0 kg (224.9 lbs),1. Swift Swim,3 Attack,"45 (5.9% with PokéBall, full HP)",50 (normal),286,Medium Slow,"Monster, Water 1","87.5% male, 12.5% female","20 (4,884–5,140 steps)",100,310,404,150,274,438,110,202,350,95,175,317,110,202,350,70,130,262
Swanna,"Water, Flying",White Bird Pokémon,1.3 m (4′03″),24.2 kg (53.4 lbs),"1. Keen Eye, 2. Big Pecks, Hydration (hidden ability)",2 Speed,"45 (5.9% with PokéBall, full HP)",50 (normal),166,Medium Fast,"Flying, Water 1","50% male, 50% female","20 (4,884–5,140 steps)",75,260,354,87,161,300,63,117,247,87,161,300,63,117,247,98,180,324
Swellow,"Normal, Flying",Swallow Pokémon,0.7 m (2′04″),19.8 kg (43.7 lbs),"1. Guts, Scrappy (hidden ability)",2 Speed,"45 (5.9% with PokéBall, full HP)",50 (normal),159,Medium Slow,Flying,"50% male, 50% female","15 (3,599–3,855 steps)",60,230,324,85,157,295,60,112,240,75,139,273,50,94,218,125,229,383
Swinub,"Ice, Ground",Pig Pokémon,0.4 m (1′04″),6.5 kg (14.3 lbs),"1. Oblivious, 2. Snow Cloak, Thick Fat (hidden ability)",1 Attack,"225 (29.4% with PokéBall, full HP)",50 (normal),50,Slow,Field,"50% male, 50% female","20 (4,884–5,140 steps)",50,210,304,50,94,218,40,76,196,30,58,174,30,58,174,50,94,218
Swirlix,Fairy,Cotton Candy Pokémon,0.4 m (1′04″),3.5 kg (7.7 lbs),"1. Sweet Veil, Unburden (hidden ability)",1 Defense,"200 (26.1% with PokéBall, full HP)",50 (normal),68,Medium Fast,Fairy,"50% male, 50% female","20 (4,884–5,140 steps)",62,234,328,48,90,214,66,123,254,59,110,238,57,107,234,49,92,216
Swoobat,"Psychic, Flying",Courting Pokémon,0.9 m (2′11″),10.5 kg (23.1 lbs),"1. Unaware, 2. Klutz, Simple (hidden ability)",2 Speed,"45 (5.9% with PokéBall, full HP)",50 (normal),149,Medium Fast,"Field, Flying","50% male, 50% female","15 (3,599–3,855 steps)",67,244,338,57,107,234,55,103,229,77,143,278,55,103,229,114,209,359
Sylveon,Fairy,Intertwining Pokémon,1.0 m (3′03″),23.5 kg (51.8 lbs),"1. Cute Charm, Pixilate (hidden ability)",2 Sp. Def,"45 (5.9% with PokéBall, full HP)",50 (normal),184,Medium Fast,Field,"87.5% male, 12.5% female","35 (8,739–8,995 steps)",95,300,394,65,121,251,65,121,251,110,202,350,130,238,394,60,112,240
Tadbulb,Electric,EleTadpole Pokémon,0.3 m (1′00″),0.4 kg (0.9 lbs),"1. Own Tempo, 2. Static, Damp (hidden ability)",1 HP,"190 (24.8% with PokéBall, full HP)",50 (normal),54,Medium Fast,Water 1,"50% male, 50% female","20 (4,884–5,140 steps)",61,232,326,31,60,177,41,78,199,59,110,238,35,67,185,45,85,207
Taillow,"Normal, Flying",TinySwallow Pokémon,0.3 m (1′00″),2.3 kg (5.1 lbs),"1. Guts, Scrappy (hidden ability)",1 Speed,"200 (26.1% with PokéBall, full HP)",50 (normal),54,Medium Slow,Flying,"50% male, 50% female","15 (3,599–3,855 steps)",40,190,284,55,103,229,30,58,174,30,58,174,30,58,174,85,157,295
Talonflame,"Fire, Flying",Scorching Pokémon,1.2 m (3′11″),24.5 kg (54.0 lbs),"1. Flame Body, Gale Wings (hidden ability)",3 Speed,"45 (5.9% with PokéBall, full HP)",50 (normal),175,Medium Slow,Flying,"50% male, 50% female","15 (3,599–3,855 steps)",78,266,360,81,150,287,71,132,265,74,137,271,69,128,260,126,231,386
Tandemaus,Normal,Couple Pokémon,0.3 m (1′00″),1.8 kg (4.0 lbs),"1. Run Away, 2. Pickup, Own Tempo (hidden ability)",1 Speed,"150 (19.6% with PokéBall, full HP)",50 (normal),61,Fast,"Fairy, Field",Genderless,"10 (2,314–2,570 steps)",50,210,304,50,94,218,45,85,207,40,76,196,45,85,207,75,139,273
Tangela,Grass,Vine Pokémon,1.0 m (3′03″),35.0 kg (77.2 lbs),"1. Chlorophyll, 2. Leaf Guard, Regenerator (hidden ability)",1 Defense,"45 (5.9% with PokéBall, full HP)",50 (normal),87,Medium Fast,Grass,"50% male, 50% female","20 (4,884–5,140 steps)",65,240,334,55,103,229,115,211,361,100,184,328,40,76,196,60,112,240
